stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A211270,AP위성,20190129,6310,6380,6230,6300,8013,498949,0,6278,6382,6566,7280
A211270,AP위성,20190128,6320,6380,6250,6310,10527,499153,0,6264,6388,6576,7298
A211270,AP위성,20190125,6250,6320,6220,6310,13532,498892,0,6244,6387,6582,7316
A211270,AP위성,20190124,6170,6300,6170,6240,17004,497965,0,6236,6380,6584,7333
A211270,AP위성,20190123,6240,6240,6160,6230,2050,498126,0,6244,6383,6590,7350
A211270,AP위성,20190122,6240,6240,6140,6230,11832,498021,0,6258,6394,6598,7367
A211270,AP위성,20190121,6200,6280,6160,6210,10212,497714,0,6294,6402,6608,7384
A211270,AP위성,20190118,6280,6320,6170,6270,15271,496445,0,6332,6410,6621,7401
A211270,AP위성,20190117,6300,6300,6210,6280,11219,496406,0,6374,6417,6636,7416
A211270,AP위성,20190116,6410,6410,6280,6300,9126,495188,0,6418,6406,6657,7434
A211270,AP위성,20190115,6400,6470,6350,6410,4716,495130,0,6472,6392,6672,7452
A211270,AP위성,20190114,6480,6480,6300,6400,5453,495849,0,6460,6385,6683,7467
A211270,AP위성,20190111,6580,6600,6410,6480,8083,495696,0,6490,6374,6696,7482
A211270,AP위성,20190110,6570,6570,6370,6500,5377,495712,0,6502,6355,6706,7495
A211270,AP위성,20190109,6450,6590,6350,6570,6910,495736,0,6512,6348,6714,7510
A211270,AP위성,20190108,6470,6600,6210,6350,10135,496239,0,6518,6342,6720,7523
A211270,AP위성,20190107,6470,6580,6400,6550,2256,496516,0,6534,6350,6727,7539
A211270,AP위성,20190104,6550,6560,6420,6540,6936,496868,0,6482,6350,6744,7553
A211270,AP위성,20190103,6600,6700,6450,6550,8966,498056,0,6406,6349,6770,7566
A211270,AP위성,20190102,6460,6640,6460,6600,23224,495086,0,6358,6350,6797,7576
A211270,AP위성,20181228,6350,6440,6230,6430,19655,492803,0,6326,6352,6826,7585
A211270,AP위성,20181227,6240,6490,6070,6290,26477,497168,0,6320,6371,6858,7595
A211270,AP위성,20181226,6200,6300,6070,6160,21172,495295,0,6338,6406,6895,7603
A211270,AP위성,20181224,6400,6480,6290,6310,3573,495221,0,6386,6446,6933,7609
A211270,AP위성,20181221,6320,6610,6320,6440,29551,495750,0,6338,6474,6970,7616
A211270,AP위성,20181220,6230,6480,6230,6400,11693,495021,0,6254,6496,7007,7623
A211270,AP위성,20181219,6380,6470,6250,6380,18547,495529,0,6226,6516,7045,7631
A211270,AP위성,20181218,5940,6500,5940,6400,47656,495986,0,6186,6542,7084,7641
A211270,AP위성,20181217,6090,6140,5980,6070,5725,497139,0,6126,6575,7122,7650
A211270,AP위성,20181214,6260,6260,5940,6020,15472,497244,0,6182,6623,7164,7663
A211270,AP위성,20181213,6170,6300,6090,6260,6459,497058,0,6270,6673,7207,7676
A211270,AP위성,20181212,6150,6180,6070,6180,4981,497003,0,6322,6708,7244,7688
A211270,AP위성,20181211,6210,6550,6040,6100,55756,496773,0,6392,6740,7280,7700
A211270,AP위성,20181210,6460,6460,6340,6350,2703,494761,0,6478,6778,7316,7715
A211270,AP위성,20181207,6530,6530,6350,6460,7417,494659,0,6522,6802,7348,7728
A211270,AP위성,20181206,6530,6610,6230,6520,19818,494990,0,6560,6833,7377,7740
A211270,AP위성,20181205,6560,6640,6440,6530,13709,495444,0,6616,6864,7405,7751
A211270,AP위성,20181204,6630,6630,6450,6530,20364,495377,0,6710,6894,7435,7763
A211270,AP위성,20181203,6390,6790,6390,6570,26594,495703,0,6792,6920,7464,7775
A211270,AP위성,20181130,6800,6840,6650,6650,15561,494382,0,6852,6944,7493,7786
A211270,AP위성,20181129,7110,7110,6720,6800,42198,494674,0,6900,6966,7522,7797
A211270,AP위성,20181128,7030,7070,6920,7000,26270,495813,0,6898,6968,7548,7807
A211270,AP위성,20181127,6870,6940,6820,6940,8408,494739,0,6878,6954,7570,7816
A211270,AP위성,20181126,6910,7030,6790,6870,14369,494602,0,6904,6928,7592,7825
A211270,AP위성,20181123,6860,7020,6790,6890,12746,494242,0,6936,6914,7616,7834
A211270,AP위성,20181122,6910,7030,6780,6790,6257,494079,0,6962,6906,7639,7842
A211270,AP위성,20181121,7000,7130,6810,6900,6322,494062,0,6994,6906,7663,7852
A211270,AP위성,20181120,6970,7090,6960,7070,1482,494208,0,6980,6911,7685,7862
A211270,AP위성,20181119,7090,7100,6780,7030,11115,494208,0,6936,6918,7705,7871
A211270,AP위성,20181116,7000,7040,6660,7020,12641,494076,0,6896,6941,7726,7879
A211270,AP위성,20181115,6870,6950,6700,6950,2120,494171,0,6910,6949,7748,7887
A211270,AP위성,20181114,6950,6980,6670,6830,5874,494171,0,6948,6956,7771,7895
A211270,AP위성,20181113,6800,6960,6680,6850,6253,494949,0,7006,6974,7798,7905
A211270,AP위성,20181112,7090,7090,6810,6830,9277,494956,0,7048,6984,7821,7912
A211270,AP위성,20181109,7140,7190,7040,7090,588,494425,0,7092,6992,7850,7922
A211270,AP위성,20181108,7190,7190,7040,7140,7197,494478,0,7090,6986,7874,7929
A211270,AP위성,20181107,7080,7320,6950,7120,11176,494587,0,7030,6966,7898,7936
A211270,AP위성,20181106,7000,7060,6940,7060,4067,494293,0,6952,6988,7920,7942
A211270,AP위성,20181105,7080,7080,6900,7050,3629,494294,0,6826,7040,7945,7949
A211270,AP위성,20181102,6880,7100,6880,7080,5497,494393,0,6732,7097,7969,7956
A211270,AP위성,20181101,6630,6890,6630,6840,7188,494362,0,6660,7159,7993,7963
A211270,AP위성,20181031,6430,6760,6290,6730,14133,495476,0,6652,7236,8020,7972
A211270,AP위성,20181030,6200,6510,6200,6430,27374,495797,0,6706,7324,8048,7983
A211270,AP위성,20181029,6800,6800,6300,6580,26993,486562,0,6860,7426,8082,7997
A211270,AP위성,20181026,7000,7100,6720,6720,11513,481358,0,7044,7523,8110,8010
A211270,AP위성,20181025,6900,6990,6750,6800,13447,481620,0,7136,7620,8136,8022
A211270,AP위성,20181024,7200,7200,6950,7000,6256,476410,0,7196,7714,8160,8033
A211270,AP위성,20181023,7400,7550,7050,7200,13942,474626,0,7230,7800,8181,8044
A211270,AP위성,20181022,7170,7600,7000,7500,21455,475979,0,7204,7874,8196,8052
A211270,AP위성,20181019,7000,7190,6960,7180,15702,477239,0,7098,7928,8210,8058
A211270,AP위성,20181018,7200,7200,7020,7100,7924,474967,0,7056,7999,8232,8067
A211270,AP위성,20181017,7020,7200,7020,7170,7146,475290,0,6986,8069,8250,8076
A211270,AP위성,20181016,6840,7200,6840,7070,10719,476849,0,7062,8126,8267,8085
A211270,AP위성,20181015,7000,7000,6770,6970,16911,479975,-5795,7272,8186,8285,8094
A211270,AP위성,20181012,6750,6970,6700,6970,51362,481820,0,7514,8250,8306,8104
A211270,AP위성,20181011,7100,7490,6610,6750,167688,463988,0,7784,8312,8326,8113
A211270,AP위성,20181010,8120,8120,7550,7550,34960,423077,0,8108,8386,8350,8124
A211270,AP위성,20181008,8140,8280,8060,8120,6814,423093,30,8296,8423,8362,8128
A211270,AP위성,20181005,8320,8390,8030,8180,13982,424069,0,8368,8430,8362,8129
A211270,AP위성,20181004,8430,8500,8240,8320,16295,424091,0,8436,8438,8356,8129
A211270,AP위성,20181002,8410,8580,8310,8370,8847,423761,-1500,8506,8440,8345,8129
A211270,AP위성,20181001,8400,8650,8250,8490,29737,424135,0,8568,8440,8332,8129
A211270,AP위성,20180928,8600,8600,8440,8480,11129,424546,0,8610,8432,8311,8129
A211270,AP위성,20180927,8770,8770,8430,8520,17621,422773,20,8650,8422,8285,8130
A211270,AP위성,20180921,8630,8740,8590,8670,10734,422847,-2000,8664,8410,8262,8127
A211270,AP위성,20180920,8770,8790,8510,8680,36091,423243,0,8650,8392,8240,8122
A211270,AP위성,20180919,8700,8880,8640,8700,64168,422914,0,8614,8370,8217,8117
A211270,AP위성,20180918,8540,8690,8510,8680,21546,419992,15,8536,8344,8197,8112
A211270,AP위성,20180917,8600,8670,8480,8590,13266,418620,0,8456,8324,8178,8107
A211270,AP위성,20180914,8540,8620,8500,8600,44165,419060,0,8384,8308,8161,8103
A211270,AP위성,20180913,8300,8510,8300,8500,40801,417670,0,8308,8296,8145,8101
A211270,AP위성,20180912,8290,8320,8180,8310,20419,416985,0,8254,8288,8131,8101
A211270,AP위성,20180911,8230,8300,8130,8280,10055,416958,0,8250,8295,8120,8104
A211270,AP위성,20180910,8180,8350,8090,8230,15898,417251,0,8248,8293,8113,8107
A211270,AP위성,20180907,8230,8240,8050,8220,18606,417721,-105,8270,8310,8108,8111
A211270,AP위성,20180906,8220,8290,8160,8230,11797,418160,0,8296,8326,8103,8116
A211270,AP위성,20180905,8270,8330,8230,8290,11923,418646,0,8322,8341,8097,8122
A211270,AP위성,20180904,8340,8340,8160,8270,13055,418512,0,8332,8350,8090,8126
A211270,AP위성,20180903,8380,8380,8300,8340,10686,418379,-31,8332,8364,8086,8130
A211270,AP위성,20180831,8400,8400,8210,8350,5720,418350,19,8324,8372,8079,8135
A211270,AP위성,20180830,8350,8380,8310,8360,2680,418388,0,8314,8380,8072,8140
A211270,AP위성,20180829,8350,8350,8250,8340,10229,418037,0,8288,8384,8066,8145
A211270,AP위성,20180828,8330,8330,8190,8270,15349,417674,-32,8258,8390,8061,8152
A211270,AP위성,20180827,8300,8320,8200,8300,5074,417609,-329,8258,8397,8058,8156
A211270,AP위성,20180824,8150,8300,8110,8300,9275,417427,0,8256,8396,8051,8160
A211270,AP위성,20180823,8110,8300,8110,8230,9695,417396,0,8266,8394,8045,8163
A211270,AP위성,20180822,8280,8280,8190,8190,5696,416941,0,8290,8396,8041,8166
A211270,AP위성,20180821,8380,8380,8200,8270,9532,416853,-1711,8340,8400,8040,8169
A211270,AP위성,20180820,8410,8410,8210,8290,5003,417355,-282,8334,8392,8037,8172
A211270,AP위성,20180817,8310,8430,8260,8350,9883,417741,-223,8388,8395,8032,8174
A211270,AP위성,20180816,8490,8490,8160,8350,9923,417998,-129,8428,8400,8026,8176
A211270,AP위성,20180814,8350,8490,8260,8440,7632,418656,0,8464,8394,8020,8177
A211270,AP위성,20180813,8600,8600,8240,8240,19787,417802,-986,8472,8380,8011,8178
A211270,AP위성,20180810,8590,8590,8450,8560,10028,419731,1323,8530,8376,8004,8180
A211270,AP위성,20180809,8550,8560,8360,8550,20593,420120,2111,8522,8358,7993,8178
A211270,AP위성,20180808,8500,8620,8400,8530,29483,418438,1529,8512,8340,7983,8175
A211270,AP위성,20180807,8600,8600,8420,8480,10746,417459,1445,8496,8324,7974,8171
A211270,AP위성,20180806,8620,8770,8430,8530,44996,417477,2107,8490,8313,7964,8166
A211270,AP위성,20180803,8410,8550,8410,8520,14227,418737,4524,8466,8292,7953,8160
A211270,AP위성,20180802,8450,8520,8360,8500,16374,418768,0,8418,8256,7943,8156
A211270,AP위성,20180801,8410,8490,8310,8450,17363,418980,0,8372,8215,7933,8154
A211270,AP위성,20180731,8500,8620,8380,8450,46924,420629,0,8334,8174,7924,8155
A211270,AP위성,20180730,8340,8520,8290,8410,61962,422476,0,8298,8111,7918,8157
A211270,AP위성,20180727,8180,8330,8180,8280,11701,413992,1081,8236,8036,7912,8161
A211270,AP위성,20180726,8160,8330,8110,8270,8526,412959,0,8252,7980,7910,8166
A211270,AP위성,20180725,8270,8340,8160,8260,31252,414338,1,8288,7932,7908,8172
A211270,AP위성,20180724,8100,8350,8030,8270,31102,414053,0,8280,7885,7906,8175
A211270,AP위성,20180723,8360,8400,8050,8100,20987,413027,4000,8262,7848,7906,8179
A211270,AP위성,20180720,8460,8470,8240,8360,33852,422189,200,8272,7820,7908,8184
A211270,AP위성,20180719,8300,8800,8290,8450,136218,422388,0,8240,7780,7905,8185
A211270,AP위성,20180718,8180,8250,8110,8220,27417,425252,5988,8186,7739,7902,8185
A211270,AP위성,20180717,8150,8200,8050,8180,11156,424772,0,8186,7711,7902,8189
A211270,AP위성,20180716,8200,8200,8010,8150,13018,425320,5000,8202,7686,7903,8194
A211270,AP위성,20180713,8180,8250,8000,8200,21923,423589,10000,8196,7670,7903,8196
A211270,AP위성,20180712,8120,8220,8080,8180,19511,422625,5000,8114,7657,7901,8198
A211270,AP위성,20180711,8260,8300,8080,8220,18156,421138,10000,8014,7642,7900,8200
A211270,AP위성,20180710,8120,8360,8080,8260,42731,421592,5000,7894,7626,7898,8202
A211270,AP위성,20180709,7700,8200,7600,8120,47183,423438,5000,7682,7608,7894,8205
A211270,AP위성,20180706,7680,7800,7600,7790,21221,425432,10000,7438,7601,7895,8209
A211270,AP위성,20180705,7630,7700,7590,7680,15673,425820,0,7316,7609,7903,8216
A211270,AP위성,20180704,7150,7630,7150,7620,27185,426143,0,7240,7621,7912,8226
A211270,AP위성,20180703,7090,7350,6950,7200,19474,426117,0,7180,7640,7926,8236
A211270,AP위성,20180702,7110,7250,6710,6900,22549,426551,0,7244,7682,7947,8250
A211270,AP위성,20180629,7330,7330,7070,7180,12928,426032,0,7374,7742,7974,8264
A211270,AP위성,20180628,7330,7400,7190,7300,8045,427181,0,7450,7777,7991,8275
A211270,AP위성,20180627,7520,7520,7320,7320,10018,427181,0,7516,7808,8005,8285
A211270,AP위성,20180626,7450,7530,7380,7520,9249,427260,0,7584,7843,8017,8294
A211270,AP위성,20180625,7640,7640,7470,7550,9677,427921,0,7616,7872,8027,8299
A211270,AP위성,20180622,7540,7650,7470,7560,15376,431033,0,7672,7900,8036,8306
A211270,AP위성,20180621,7630,7740,7630,7630,7064,432148,0,7748,7922,8044,8313
A211270,AP위성,20180620,7520,7760,7520,7660,19764,432304,0,7800,7940,8057,8320
A211270,AP위성,20180619,7900,7910,7410,7680,29037,429310,0,7846,7954,8071,8326
A211270,AP위성,20180618,7890,8000,7760,7830,20041,430248,-7,7890,7966,8087,8330
A211270,AP위성,20180615,7890,8070,7810,7940,24496,435593,0,7920,7965,8100,8334
A211270,AP위성,20180614,7850,7930,7810,7890,12201,436037,0,7922,7964,8114,8335
A211270,AP위성,20180612,7880,7940,7850,7890,5002,437366,0,7928,7967,8130,8336
A211270,AP위성,20180611,7940,7970,7850,7900,21208,437960,0,7950,7970,8148,8336
A211270,AP위성,20180608,8000,8000,7840,7980,21482,441748,0,7980,7970,8162,8338
A211270,AP위성,20180607,7860,8020,7860,7950,4690,440930,0,8000,7966,8175,8334
A211270,AP위성,20180605,8070,8070,7900,7920,10567,441193,0,7988,7964,8190,8331
A211270,AP위성,20180604,8050,8130,7880,8000,13649,440292,0,7988,7964,8208,8329
A211270,AP위성,20180601,8160,8160,7960,8050,9282,440660,0,7992,7960,8224,8326
A211270,AP위성,20180531,7890,8140,7830,8080,24833,441207,0,8000,7960,8244,8322
A211270,AP위성,20180530,7920,8000,7890,7890,13483,439084,0,8006,7960,8254,8318
A211270,AP위성,20180529,8020,8080,7920,7920,18610,440349,0,8032,7974,8269,8318
A211270,AP위성,20180528,8100,8120,7940,8020,13115,440514,0,8044,7986,8280,8317
A211270,AP위성,20180525,8160,8160,7990,8090,11324,441330,0,8028,7992,8291,8315
A211270,AP위성,20180524,8020,8140,7980,8110,14191,444782,0,7996,7998,8299,8312
A211270,AP위성,20180523,7960,8080,7960,8020,12346,444420,0,7934,8004,8308,8309
A211270,AP위성,20180521,7970,8120,7940,7980,18709,443552,0,7914,8013,8316,8304
A211270,AP위성,20180518,7870,7990,7870,7940,19204,444596,0,7908,8026,8326,8301
A211270,AP위성,20180517,7800,8010,7750,7930,29421,441594,0,7912,8042,8335,8299
A211270,AP위성,20180516,7870,7910,7750,7800,22589,436769,7,7906,8056,8345,8297
A211270,AP위성,20180515,7920,7950,7880,7920,14944,443826,0,7922,8074,8357,8295
A211270,AP위성,20180514,7970,8000,7850,7950,20246,444900,0,7920,8083,8363,8292
A211270,AP위성,20180511,7900,7980,7820,7960,22193,446798,0,7916,8090,8367,8289
A211270,AP위성,20180510,7800,7910,7800,7900,15300,442808,0,7906,8098,8369,8287
A211270,AP위성,20180509,7780,7890,7780,7880,15574,440949,0,7940,8105,8368,8286
A211270,AP위성,20180508,7900,8000,7840,7910,22917,444061,0,7980,8118,8368,8286
A211270,AP위성,20180504,7910,7980,7880,7930,21130,443754,0,8030,8136,8368,8285
A211270,AP위성,20180503,8070,8070,7910,7910,51922,441455,0,8074,8152,8375,8285
A211270,AP위성,20180502,8100,8110,7940,8070,60422,443769,0,8120,8180,8386,8285
A211270,AP위성,20180430,8100,8300,8040,8080,22701,446294,0,8152,8198,8397,8284
A211270,AP위성,20180427,8200,8220,8060,8160,26593,446572,0,8180,8222,8410,8283
A211270,AP위성,20180426,8140,8180,8090,8150,30033,443891,0,8188,8222,8422,8282
A211270,AP위성,20180425,8210,8250,8100,8140,18181,451393,0,8208,8222,8435,8281
A211270,AP위성,20180424,8260,8300,8160,8230,20795,452210,0,8230,8217,8444,8280
A211270,AP위성,20180423,8200,8250,8090,8220,38283,455404,0,8228,8212,8452,8278
A211270,AP위성,20180420,8250,8380,8170,8200,11086,456677,0,8214,8204,8461,8276
A211270,AP위성,20180419,8300,8340,8190,8250,31568,457149,0,8194,8198,8466,8274
A211270,AP위성,20180418,8160,8420,8160,8250,19175,457898,0,8164,8204,8469,8272
A211270,AP위성,20180417,8190,8240,8080,8220,28891,457721,0,8134,8216,8475,8270
A211270,AP위성,20180416,8090,8180,8010,8150,10183,457394,0,8100,8238,8484,8268
A211270,AP위성,20180413,8040,8180,8040,8100,14018,457075,0,8100,8262,8489,8267
A211270,AP위성,20180412,8100,8180,8020,8100,11481,457233,0,8130,8294,8495,8266
A211270,AP위성,20180411,8060,8200,8050,8100,7092,457003,0,8164,8334,8501,8265
A211270,AP위성,20180410,8150,8150,7990,8050,13075,456888,0,8234,8374,8506,8264
A211270,AP위성,20180409,8250,8250,8090,8150,13245,457249,0,8314,8410,8515,8264
A211270,AP위성,20180406,8220,8290,8180,8250,12029,457985,0,8392,8442,8522,8263
A211270,AP위성,20180405,8450,8470,8260,8270,11619,458742,0,8374,8472,8530,8261
A211270,AP위성,20180404,8400,8600,8330,8450,17912,459339,0,8350,8506,8540,8258
A211270,AP위성,20180403,8490,8600,8300,8450,17378,461779,0,8270,8534,8546,8255
A211270,AP위성,20180402,8150,8620,8100,8540,66676,463764,0,8206,8572,8554,8251
A211270,AP위성,20180330,8150,8220,8060,8160,12365,461141,0,8110,8580,8554,8247
A211270,AP위성,20180329,8050,8200,8050,8150,12791,461393,0,8092,8612,8558,8246
A211270,AP위성,20180328,8030,8120,7910,8050,10057,461679,0,8136,8634,8565,8244
A211270,AP위성,20180327,8060,8180,8040,8130,20208,462604,0,8226,8664,8572,8242
A211270,AP위성,20180326,8170,8170,7870,8060,42392,463015,0,8334,8686,8571,8242
A211270,AP위성,20180323,8320,8360,8000,8070,38187,461766,0,8446,8714,8576,8244
A211270,AP위성,20180322,8500,8600,8310,8370,28418,463476,0,8582,8739,8582,8245
A211270,AP위성,20180321,8670,8670,8460,8500,32448,466274,0,8684,8748,8583,8244
A211270,AP위성,20180320,8620,8680,8420,8670,54649,463606,0,8768,8748,8581,8242
A211270,AP위성,20180319,8740,8790,8580,8620,43724,461191,-1,8786,8740,8574,8239
A211270,AP위성,20180316,8900,8900,8690,8750,31200,458509,0,8818,8735,8568,8237
A211270,AP위성,20180315,9000,9000,8760,8880,27248,453041,0,8842,8712,8556,8233
A211270,AP위성,20180314,8660,9030,8620,8920,68587,458325,0,8854,8676,8541,8229
A211270,AP위성,20180313,8750,8780,8520,8760,64779,433155,0,8870,8636,8526,8224
A211270,AP위성,20180312,8870,9000,8720,8780,54666,420851,0,8964,8590,8514,8222
